AGE|AGE_SPECIFIC_CI_LOWER|AGE_SPECIFIC_CI_UPPER|AGE_SPECIFIC_RATE|COUNT|ICCC_GROUP|POPULATION|YEAR
<1|~|~|~|~|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|3597900|2000
1-4|1.2|2.7|1.8|26|I(e) Unspecified and other specified leukemias|14307286|2000
10-14|~|~|~|~|I(e) Unspecified and other specified leukemias|19268598|2000
15-19|0.8|1.9|1.3|24|I(e) Unspecified and other specified leukemias|18916654|2000
5-9|0.6|1.6|1.0|20|I(e) Unspecified and other specified leukemias|19120872|2000
<1|2.5|7.2|4.4|16|I(e) Unspecified and other specified leukemias|3597900|2000
1-4|8.2|11.5|9.7|139|II Lymphomas and reticuloendothelial neoplasms|14307286|2000
10-14|22.6|27.1|24.8|478|II Lymphomas and reticuloendothelial neoplasms|19268598|2000
15-19|46.4|52.8|49.5|937|II Lymphomas and reticuloendothelial neoplasms|18916654|2000
5-9|13.7|17.3|15.4|295|II Lymphomas and reticuloendothelial neoplasms|19120872|2000
<1|6.5|13.2|9.4|34|II Lymphomas and reticuloendothelial neoplasms|3597900|2000
1-4|0.6|1.8|1.1|16|II(a) Hodgkin lymphomas|14307286|2000
10-14|11.3|14.5|12.8|247|II(a) Hodgkin lymphomas|19268598|2000
15-19|29.0|34.1|31.5|595|II(a) Hodgkin lymphomas|18916654|2000
5-9|2.9|4.6|3.7|70|II(a) Hodgkin lymphomas|19120872|2000
<1|~|~|~|~|II(a) Hodgkin lymphomas|3597900|2000
1-4|2.8|4.9|3.8|54|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|14307286|2000
10-14|7.0|9.6|8.2|158|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|19268598|2000
15-19|13.1|16.6|14.8|280|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|18916654|2000
5-9|5.2|7.5|6.3|120|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|19120872|2000
<1|~|~|~|~|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|3597900|2000
1-4|1.4|3.0|2.1|30|II(c) Burkitt lymphoma|14307286|2000
10-14|2.2|3.8|2.9|56|II(c) Burkitt lymphoma|19268598|2000
15-19|1.7|3.2|2.4|45|II(c) Burkitt lymphoma|18916654|2000
5-9|3.1|5.0|4.0|76|II(c) Burkitt lymphoma|19120872|2000
<1|~|~|~|~|II(c) Burkitt lymphoma|3597900|2000
1-4|1.5|3.2|2.2|32|II(d) Miscellaneous lymphoreticular neoplasms|14307286|2000
10-14|~|~|~|~|II(d) Miscellaneous lymphoreticular neoplasms|19268598|2000
15-19|~|~|~|~|II(d) Miscellaneous lymphoreticular neoplasms|18916654|2000
5-9|~|~|~|~|II(d) Miscellaneous lymphoreticular neoplasms|19120872|2000
<1|4.1|9.6|6.4|23|II(d) Miscellaneous lymphoreticular neoplasms|3597900|2000
1-4|~|~|~|~|II(e) Unspecified lymphomas|14307286|2000
10-14|~|~|~|~|II(e) Unspecified lymphomas|19268598|2000
15-19|~|~|~|~|II(e) Unspecified lymphomas|18916654|2000
5-9|0.6|1.5|0.9|18|II(e) Unspecified lymphomas|19120872|2000
<1|~|~|~|~|II(e) Unspecified lymphomas|3597900|2000
1-4|36.9|43.5|40.1|574|III CNS and misc intracranial and intraspinal neoplasms|14307286|2000
10-14|25.4|30.2|27.7|534|III CNS and misc intracranial and intraspinal neoplasms|19268598|2000
15-19|19.8|24.0|21.8|413|III CNS and misc intracranial and intraspinal neoplasms|18916654|2000
5-9|31.0|36.2|33.5|641|III CNS and misc intracranial and intraspinal neoplasms|19120872|2000
<1|28.4|40.8|34.2|123|III CNS and misc intracranial and intraspinal neoplasms|3597900|2000
1-4|3.9|6.3|5.0|72|III(a) Ependymomas and choroid plexus tumor|14307286|2000
10-14|1.1|2.2|1.6|30|III(a) Ependymomas and choroid plexus tumor|19268598|2000
15-19|0.9|2.0|1.3|25|III(a) Ependymomas and choroid plexus tumor|18916654|2000
5-9|1.6|3.0|2.2|43|III(a) Ependymomas and choroid plexus tumor|19120872|2000
<1|~|~|~|~|III(a) Ependymomas and choroid plexus tumor|3597900|2000
1-4|17.1|21.7|19.3|276|III(b) Astrocytomas|14307286|2000
10-14|14.5|18.1|16.2|313|III(b) Astrocytomas|19268598|2000
15-19|10.4|13.6|11.9|226|III(b) Astrocytomas|18916654|2000
5-9|15.0|18.7|16.8|321|III(b) Astrocytomas|19120872|2000
<1|11.0|19.3|14.7|53|III(b) Astrocytomas|3597900|2000
1-4|8.2|11.5|9.8|140|III(c) Intracranial and intraspinal embryonal tumors|14307286|2000
10-14|4.1|6.1|5.0|97|III(c) Intracranial and intraspinal embryonal tumors|19268598|2000
15-19|2.6|4.3|3.4|64|III(c) Intracranial and intraspinal embryonal tumors|18916654|2000
5-9|7.0|9.7|8.3|158|III(c) Intracranial and intraspinal embryonal tumors|19120872|2000
<1|6.5|13.2|9.4|34|III(c) Intracranial and intraspinal embryonal tumors|3597900|2000
1-4|3.4|5.7|4.5|64|III(d) Other gliomas|14307286|2000
10-14|3.2|5.0|4.0|77|III(d) Other gliomas|19268598|2000
15-19|3.3|5.2|4.2|79|III(d) Other gliomas|18916654|2000
5-9|4.5|6.7|5.5|106|III(d) Other gliomas|19120872|2000
<1|~|~|~|~|III(d) Other gliomas|3597900|2000
1-4|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|14307286|2000
10-14|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|19268598|2000
15-19|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|18916654|2000
5-9|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|19120872|2000
<1|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|3597900|2000
1-4|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|14307286|2000
10-14|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|19268598|2000
15-19|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|18916654|2000
5-9|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|19120872|2000
<1|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|3597900|2000
1-4|17.1|21.7|19.3|276|IV Neuroblastoma and other peripheral nervous cell tumors|14307286|2000
10-14|0.8|1.9|1.3|25|IV Neuroblastoma and other peripheral nervous cell tumors|19268598|2000
15-19|~|~|~|~|IV Neuroblastoma and other peripheral nervous cell tumors|18916654|2000
5-9|2.4|4.1|3.2|61|IV Neuroblastoma and other peripheral nervous cell tumors|19120872|2000
<1|46.9|62.4|54.2|195|IV Neuroblastoma and other peripheral nervous cell tumors|3597900|2000
1-4|17.1|21.7|19.3|276|IV(a) Neuroblastoma and ganglioneuroblastoma|14307286|2000
10-14|0.6|1.6|1.0|20|IV(a) Neuroblastoma and ganglioneuroblastoma|19268598|2000
15-19|~|~|~|~|IV(a) Neuroblastoma and ganglioneuroblastoma|18916654|2000
5-9|2.3|4.0|3.1|59|IV(a) Neuroblastoma and ganglioneuroblastoma|19120872|2000
<1|46.9|62.4|54.2|195|IV(a) Neuroblastoma and ganglioneuroblastoma|3597900|2000
1-4|~|~|~|~|IV(b) Other peripheral nervous cell tumors|14307286|2000
10-14|~|~|~|~|IV(b) Other peripheral nervous cell tumors|19268598|2000
15-19|~|~|~|~|IV(b) Other peripheral nervous cell tumors|18916654|2000
5-9|~|~|~|~|IV(b) Other peripheral nervous cell tumors|19120872|2000
<1|~|~|~|~|IV(b) Other peripheral nervous cell tumors|3597900|2000
1-4|9.4|12.9|11.0|158|IX Soft tissue and other extraosseous sarcomas|14307286|2000
10-14|10.0|13.1|11.5|221|IX Soft tissue and other extraosseous sarcomas|19268598|2000
15-19|14.8|18.5|16.5|313|IX Soft tissue and other extraosseous sarcomas|18916654|2000
5-9|6.8|9.4|8.1|154|IX Soft tissue and other extraosseous sarcomas|19120872|2000
<1|12.2|20.8|16.1|58|IX Soft tissue and other extraosseous sarcomas|3597900|2000
1-4|7.1|10.2|8.5|122|IX(a) Rhabdomyosarcomas|14307286|2000
10-14|3.0|4.8|3.8|73|IX(a) Rhabdomyosarcomas|19268598|2000
15-19|3.0|4.8|3.8|72|IX(a) Rhabdomyosarcomas|18916654|2000
5-9|3.1|5.0|4.0|76|IX(a) Rhabdomyosarcomas|19120872|2000
<1|4.7|10.6|7.2|26|IX(a) Rhabdomyosarcomas|3597900|2000
1-4|~|~|~|~|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|14307286|2000
10-14|0.6|1.6|1.0|20|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|19268598|2000
15-19|1.4|2.7|2.0|37|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|18916654|2000
5-9|~|~|~|~|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|19120872|2000
<1|~|~|~|~|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|3597900|2000
1-4|~|~|~|~|IX(c) Kaposi sarcoma|14307286|2000
10-14|~|~|~|~|IX(c) Kaposi sarcoma|19268598|2000
15-19|~|~|~|~|IX(c) Kaposi sarcoma|18916654|2000
5-9|~|~|~|~|IX(c) Kaposi sarcoma|19120872|2000
<1|~|~|~|~|IX(c) Kaposi sarcoma|3597900|2000
1-4|1.0|2.3|1.5|22|IX(d) Other specified soft tissue sarcomas|14307286|2000
10-14|3.9|6.0|4.9|94|IX(d) Other specified soft tissue sarcomas|19268598|2000
15-19|7.1|9.7|8.3|157|IX(d) Other specified soft tissue sarcomas|18916654|2000
5-9|1.9|3.4|2.6|50|IX(d) Other specified soft tissue sarcomas|19120872|2000
<1|~|~|~|~|IX(d) Other specified soft tissue sarcomas|3597900|2000
1-4|~|~|~|~|IX(e) Unspecified soft tissue sarcomas|14307286|2000
10-14|1.2|2.5|1.8|34|IX(e) Unspecified soft tissue sarcomas|19268598|2000
15-19|1.7|3.1|2.3|44|IX(e) Unspecified soft tissue sarcomas|18916654|2000
5-9|0.6|1.6|1.0|19|IX(e) Unspecified soft tissue sarcomas|19120872|2000
<1|~|~|~|~|IX(e) Unspecified soft tissue sarcomas|3597900|2000
1-4|~|~|~|~|Not classified by ICCC|14307286|2000
10-14|~|~|~|~|Not classified by ICCC|19268598|2000
15-19|~|~|~|~|Not classified by ICCC|18916654|2000
5-9|~|~|~|~|Not classified by ICCC|19120872|2000
<1|~|~|~|~|Not classified by ICCC|3597900|2000
1-4|8.2|11.5|9.7|139|V Retinoblastoma|14307286|2000
10-14|~|~|~|~|V Retinoblastoma|19268598|2000
15-19|~|~|~|~|V Retinoblastoma|18916654|2000
5-9|~|~|~|~|V Retinoblastoma|19120872|2000
<1|21.6|32.6|26.7|96|V Retinoblastoma|3597900|2000
1-4|18.7|23.6|21.0|301|VI Renal tumors|14307286|2000
10-14|0.7|1.7|1.1|22|VI Renal tumors|19268598|2000
15-19|0.7|1.7|1.1|21|VI Renal tumors|18916654|2000
5-9|5.1|7.4|6.2|118|VI Renal tumors|19120872|2000
<1|10.1|18.0|13.6|49|VI Renal tumors|3597900|2000
1-4|18.5|23.3|20.8|298|VI(a) Nephroblastoma and other nonepithelial renal tumors|14307286|2000
10-14|~|~|~|~|VI(a) Nephroblastoma and other nonepithelial renal tumors|19268598|2000
15-19|~|~|~|~|VI(a) Nephroblastoma and other nonepithelial renal tumors|18916654|2000
5-9|4.8|7.0|5.8|111|VI(a) Nephroblastoma and other nonepithelial renal tumors|19120872|2000
<1|10.1|18.0|13.6|49|VI(a) Nephroblastoma and other nonepithelial renal tumors|3597900|2000
1-4|~|~|~|~|VI(b) Renal carcinomas|14307286|2000
10-14|~|~|~|~|VI(b) Renal carcinomas|19268598|2000
15-19|~|~|~|~|VI(b) Renal carcinomas|18916654|2000
5-9|~|~|~|~|VI(b) Renal carcinomas|19120872|2000
<1|~|~|~|~|VI(b) Renal carcinomas|3597900|2000
1-4|~|~|~|~|VI(c) Unspecified malignant renal tumors|14307286|2000
10-14|~|~|~|~|VI(c) Unspecified malignant renal tumors|19268598|2000
15-19|~|~|~|~|VI(c) Unspecified malignant renal tumors|18916654|2000
5-9|~|~|~|~|VI(c) Unspecified malignant renal tumors|19120872|2000
<1|~|~|~|~|VI(c) Unspecified malignant renal tumors|3597900|2000
1-4|3.4|5.7|4.5|64|VII Hepatic tumors|14307286|2000
10-14|0.5|1.3|0.8|16|VII Hepatic tumors|19268598|2000
15-19|~|~|~|~|VII Hepatic tumors|18916654|2000
5-9|~|~|~|~|VII Hepatic tumors|19120872|2000
<1|7.5|14.5|10.6|38|VII Hepatic tumors|3597900|2000
1-4|3.4|5.7|4.5|64|VII(a) Hepatoblastoma|14307286|2000
10-14|~|~|~|~|VII(a) Hepatoblastoma|19268598|2000
15-19|~|~|~|~|VII(a) Hepatoblastoma|18916654|2000
5-9|~|~|~|~|VII(a) Hepatoblastoma|19120872|2000
<1|7.2|14.2|10.3|37|VII(a) Hepatoblastoma|3597900|2000
1-4|~|~|~|~|VII(b) Hepatic carcinomas|14307286|2000
10-14|~|~|~|~|VII(b) Hepatic carcinomas|19268598|2000
15-19|~|~|~|~|VII(b) Hepatic carcinomas|18916654|2000
5-9|~|~|~|~|VII(b) Hepatic carcinomas|19120872|2000
<1|~|~|~|~|VII(b) Hepatic carcinomas|3597900|2000
1-4|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|14307286|2000
10-14|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|19268598|2000
15-19|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|18916654|2000
5-9|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|19120872|2000
<1|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|3597900|2000
1-4|0.7|2.0|1.3|18|VIII Malignant bone tumors|14307286|2000
10-14|11.7|15.0|13.2|255|VIII Malignant bone tumors|19268598|2000
15-19|12.4|15.9|14.1|266|VIII Malignant bone tumors|18916654|2000
5-9|4.2|6.2|5.1|98|VIII Malignant bone tumors|19120872|2000
<1|~|~|~|~|VIII Malignant bone tumors|3597900|2000
1-4|~|~|~|~|VIII(a) Osteosarcomas|14307286|2000
10-14|6.4|8.9|7.5|145|VIII(a) Osteosarcomas|19268598|2000
15-19|7.0|9.6|8.2|156|VIII(a) Osteosarcomas|18916654|2000
5-9|2.1|3.6|2.8|53|VIII(a) Osteosarcomas|19120872|2000
<1|~|~|~|~|VIII(a) Osteosarcomas|3597900|2000
1-4|~|~|~|~|VIII(b) Chondrosarcomas|14307286|2000
10-14|~|~|~|~|VIII(b) Chondrosarcomas|19268598|2000
15-19|~|~|~|~|VIII(b) Chondrosarcomas|18916654|2000
5-9|~|~|~|~|VIII(b) Chondrosarcomas|19120872|2000
<1|~|~|~|~|VIII(b) Chondrosarcomas|3597900|2000
1-4|~|~|~|~|VIII(c) Ewing tumor and related sarcomas of bone|14307286|2000
10-14|3.9|5.9|4.8|93|VIII(c) Ewing tumor and related sarcomas of bone|19268598|2000
15-19|3.4|5.4|4.3|82|VIII(c) Ewing tumor and related sarcomas of bone|18916654|2000
5-9|1.7|3.1|2.3|44|VIII(c) Ewing tumor and related sarcomas of bone|19120872|2000
<1|~|~|~|~|VIII(c) Ewing tumor and related sarcomas of bone|3597900|2000
1-4|~|~|~|~|VIII(d) Other specified malignant bone tumors|14307286|2000
10-14|~|~|~|~|VIII(d) Other specified malignant bone tumors|19268598|2000
15-19|~|~|~|~|VIII(d) Other specified malignant bone tumors|18916654|2000
5-9|~|~|~|~|VIII(d) Other specified malignant bone tumors|19120872|2000
<1|~|~|~|~|VIII(d) Other specified malignant bone tumors|3597900|2000
1-4|~|~|~|~|VIII(e) Unspecified malignant bone tumors|14307286|2000
10-14|~|~|~|~|VIII(e) Unspecified malignant bone tumors|19268598|2000
15-19|~|~|~|~|VIII(e) Unspecified malignant bone tumors|18916654|2000
5-9|~|~|~|~|VIII(e) Unspecified malignant bone tumors|19120872|2000
<1|~|~|~|~|VIII(e) Unspecified malignant bone tumors|3597900|2000
1-4|1.8|3.5|2.5|36|X Germ cell, trophoblastic tumors & neoplasms of gonads|14307286|2000
10-14|5.5|7.9|6.6|128|X Germ cell, trophoblastic tumors & neoplasms of gonads|19268598|2000
15-19|25.7|30.6|28.1|531|X Germ cell, trophoblastic tumors & neoplasms of gonads|18916654|2000
5-9|2.0|3.6|2.7|52|X Germ cell, trophoblastic tumors & neoplasms of gonads|19120872|2000
<1|13.0|21.8|17.0|61|X Germ cell, trophoblastic tumors & neoplasms of gonads|3597900|2000
1-4|~|~|~|~|X(a) Intracranial & intraspinal germ cell tumors|14307286|2000
10-14|1.6|2.9|2.2|42|X(a) Intracranial & intraspinal germ cell tumors|19268598|2000
15-19|1.6|3.1|2.3|43|X(a) Intracranial & intraspinal germ cell tumors|18916654|2000
5-9|0.9|2.0|1.4|26|X(a) Intracranial & intraspinal germ cell tumors|19120872|2000
<1|~|~|~|~|X(a) Intracranial & intraspinal germ cell tumors|3597900|2000
1-4|~|~|~|~|X(b) Malignant extracranial & extragonadal germ cell tumors|14307286|2000
10-14|~|~|~|~|X(b) Malignant extracranial & extragonadal germ cell tumors|19268598|2000
15-19|1.6|3.1|2.3|43|X(b) Malignant extracranial & extragonadal germ cell tumors|18916654|2000
5-9|~|~|~|~|X(b) Malignant extracranial & extragonadal germ cell tumors|19120872|2000
<1|7.9|15.1|11.1|40|X(b) Malignant extracranial & extragonadal germ cell tumors|3597900|2000
1-4|~|~|~|~|X(c) Malignant gonadal germ cell tumors|14307286|2000
10-14|3.0|4.8|3.8|74|X(c) Malignant gonadal germ cell tumors|19268598|2000
15-19|19.4|23.6|21.4|405|X(c) Malignant gonadal germ cell tumors|18916654|2000
5-9|0.8|1.8|1.2|23|X(c) Malignant gonadal germ cell tumors|19120872|2000
<1|~|~|~|~|X(c) Malignant gonadal germ cell tumors|3597900|2000
1-4|~|~|~|~|X(d) Gonadal carcinomas|14307286|2000
10-14|~|~|~|~|X(d) Gonadal carcinomas|19268598|2000
15-19|1.0|2.1|1.5|28|X(d) Gonadal carcinomas|18916654|2000
5-9|~|~|~|~|X(d) Gonadal carcinomas|19120872|2000
<1|~|~|~|~|X(d) Gonadal carcinomas|3597900|2000
1-4|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|14307286|2000
10-14|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|19268598|2000
15-19|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|18916654|2000
5-9|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|19120872|2000
<1|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|3597900|2000
1-4|1.2|2.7|1.8|26|XI Other malignant epithelial neoplasms and malignant melanomas|14307286|2000
10-14|10.3|13.4|11.8|227|XI Other malignant epithelial neoplasms and malignant melanomas|19268598|2000
15-19|42.2|48.3|45.2|855|XI Other malignant epithelial neoplasms and malignant melanomas|18916654|2000
5-9|2.3|3.9|3.0|58|XI Other malignant epithelial neoplasms and malignant melanomas|19120872|2000
<1|~|~|~|~|XI Other malignant epithelial neoplasms and malignant melanomas|3597900|2000
1-4|~|~|~|~|XI(a) Adrenocortical carcinomas|14307286|2000
10-14|~|~|~|~|XI(a) Adrenocortical carcinomas|19268598|2000
15-19|~|~|~|~|XI(a) Adrenocortical carcinomas|18916654|2000
5-9|~|~|~|~|XI(a) Adrenocortical carcinomas|19120872|2000
<1|~|~|~|~|XI(a) Adrenocortical carcinomas|3597900|2000
1-4|~|~|~|~|XI(b) Thyroid carcinomas|14307286|2000
10-14|3.4|5.3|4.3|82|XI(b) Thyroid carcinomas|19268598|2000
15-19|15.3|19.0|17.1|323|XI(b) Thyroid carcinomas|18916654|2000
5-9|0.5|1.4|0.9|17|XI(b) Thyroid carcinomas|19120872|2000
<1|~|~|~|~|XI(b) Thyroid carcinomas|3597900|2000
1-4|~|~|~|~|XI(c) Nasopharyngeal carcinomas|14307286|2000
10-14|0.5|1.3|0.8|16|XI(c) Nasopharyngeal carcinomas|19268598|2000
15-19|0.7|1.7|1.1|21|XI(c) Nasopharyngeal carcinomas|18916654|2000
5-9|~|~|~|~|XI(c) Nasopharyngeal carcinomas|19120872|2000
<1|~|~|~|~|XI(c) Nasopharyngeal carcinomas|3597900|2000
1-4|~|~|~|~|XI(d) Malignant melanomas|14307286|2000
10-14|2.6|4.4|3.4|66|XI(d) Malignant melanomas|19268598|2000
15-19|13.5|17.1|15.2|288|XI(d) Malignant melanomas|18916654|2000
5-9|0.5|1.4|0.9|17|XI(d) Malignant melanomas|19120872|2000
<1|~|~|~|~|XI(d) Malignant melanomas|3597900|2000
1-4|~|~|~|~|XI(e) Skin carcinomas|14307286|2000
10-14|~|~|~|~|XI(e) Skin carcinomas|19268598|2000
15-19|~|~|~|~|XI(e) Skin carcinomas|18916654|2000
5-9|~|~|~|~|XI(e) Skin carcinomas|19120872|2000
<1|~|~|~|~|XI(e) Skin carcinomas|3597900|2000
1-4|~|~|~|~|XI(f) Other and unspecified carcinomas|14307286|2000
10-14|2.3|3.9|3.0|58|XI(f) Other and unspecified carcinomas|19268598|2000
15-19|9.8|12.9|11.3|213|XI(f) Other and unspecified carcinomas|18916654|2000
5-9|~|~|~|~|XI(f) Other and unspecified carcinomas|19120872|2000
<1|~|~|~|~|XI(f) Other and unspecified carcinomas|3597900|2000
1-4|~|~|~|~|XII Other and unspecified malignant neoplasms|14307286|2000
10-14|~|~|~|~|XII Other and unspecified malignant neoplasms|19268598|2000
15-19|0.7|1.7|1.1|21|XII Other and unspecified malignant neoplasms|18916654|2000
5-9|~|~|~|~|XII Other and unspecified malignant neoplasms|19120872|2000
<1|~|~|~|~|XII Other and unspecified malignant neoplasms|3597900|2000
1-4|~|~|~|~|XII(a) Other specified malignant tumors|14307286|2000
10-14|~|~|~|~|XII(a) Other specified malignant tumors|19268598|2000
15-19|~|~|~|~|XII(a) Other specified malignant tumors|18916654|2000
5-9|~|~|~|~|XII(a) Other specified malignant tumors|19120872|2000
<1|~|~|~|~|XII(a) Other specified malignant tumors|3597900|2000
1-4|~|~|~|~|XII(b) Other unspecified malignant tumors|14307286|2000
10-14|~|~|~|~|XII(b) Other unspecified malignant tumors|19268598|2000
15-19|0.6|1.6|1.0|19|XII(b) Other unspecified malignant tumors|18916654|2000
5-9|~|~|~|~|XII(b) Other unspecified malignant tumors|19120872|2000
<1|~|~|~|~|XII(b) Other unspecified malignant tumors|3597900|2000
1-4|211.8|227.1|219.3|3170|All ICCC Groups Combined|14453372|2001
10-14|127.6|137.8|132.7|2633|All ICCC Groups Combined|19846374|2001
15-19|207.5|220.6|214.0|4137|All ICCC Groups Combined|19335843|2001
5-9|111.2|120.9|116.0|2214|All ICCC Groups Combined|19087067|2001
<1|236.3|268.5|252.0|956|All ICCC Groups Combined|3793407|2001
1-4|88.2|98.2|93.1|1345|I Leukemias, myeloproliferative & myelodysplastic diseases|14453372|2001
10-14|28.4|33.4|30.8|612|I Leukemias, myeloproliferative & myelodysplastic diseases|19846374|2001
15-19|28.7|33.8|31.2|603|I Leukemias, myeloproliferative & myelodysplastic diseases|19335843|2001
5-9|36.6|42.3|39.4|752|I Leukemias, myeloproliferative & myelodysplastic diseases|19087067|2001
<1|42.7|57.2|49.6|188|I Leukemias, myeloproliferative & myelodysplastic diseases|3793407|2001
1-4|73.4|82.6|77.9|1126|I(a) Lymphoid leukemias|14453372|2001
10-14|18.5|22.5|20.4|405|I(a) Lymphoid leukemias|19846374|2001
15-19|14.2|17.8|15.9|308|I(a) Lymphoid leukemias|19335843|2001
5-9|29.4|34.5|31.9|609|I(a) Lymphoid leukemias|19087067|2001
<1|15.6|24.8|19.8|75|I(a) Lymphoid leukemias|3793407|2001
1-4|7.7|10.9|9.2|133|I(b) Acute myeloid leukemias|14453372|2001
10-14|5.9|8.3|7.1|140|I(b) Acute myeloid leukemias|19846374|2001
15-19|7.4|10.1|8.7|168|I(b) Acute myeloid leukemias|19335843|2001
5-9|3.8|5.9|4.8|91|I(b) Acute myeloid leukemias|19087067|2001
<1|11.8|20.1|15.6|59|I(b) Acute myeloid leukemias|3793407|2001
1-4|1.0|2.3|1.5|22|I(c) Chronic myeloproliferative diseases|14453372|2001
10-14|1.3|2.5|1.8|36|I(c) Chronic myeloproliferative diseases|19846374|2001
15-19|3.1|5.0|4.0|77|I(c) Chronic myeloproliferative diseases|19335843|2001
5-9|~|~|~|~|I(c) Chronic myeloproliferative diseases|19087067|2001
<1|3.6|8.8|5.8|22|I(c) Chronic myeloproliferative diseases|3793407|2001
